tenant_name,tenant_slug,resource_id,resource_name,external_id,linked_user_id,linked_username,linked_discord_tag,linked_discord_uid,linked_role,linked_tenant_id,sync_status
VR ASMR Salon Veludo,Veludo,92bfd3a7-aa5e-4b87-b9b9-718de14d5528,2tail（つーている）,15,15,mhrb4563,mhrb4563,337082337227571200,CONSUMER,,MATCH_USER_ID
VR ASMR Salon Veludo,Veludo,9c23930d-1f64-4ac6-b456-ed231c316d8f,Agi Shikome（アギ シコメ）,16,16,siro_m,siro_m,252423294169513984,STAFF,30ae46b4-be38-42a9-840e-21f711115471,MATCH_USER_ID
VR ASMR Salon Veludo,Veludo,fc9a3ac6-ef62-4d1a-b379-e744225dc0e6,Keimaru,2,2,yukimikei,yukimikei,410049336639094784,ADMIN,30ae46b4-be38-42a9-840e-21f711115471,MATCH_USER_ID
VR ASMR Salon Veludo,Veludo,7678ee04-471e-41cf-a599-a2467ac20087,Mosco（もすこ）,19,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,9f922b79-7b2a-48ec-9508-8cca81f11511,Rin,8,13,riz_02,riz_02,384262190993113088,STAFF,30ae46b4-be38-42a9-840e-21f711115471,MISMATCH
VR ASMR Salon Veludo,Veludo,0c087978-6dda-4b6c-a3b8-648e2d631c14,kaede_0308,9,4,kaede_0308,kaede_0308,358418240663322656,STAFF,30ae46b4-be38-42a9-840e-21f711115471,MISMATCH
VR ASMR Salon Veludo,Veludo,d98ac0d5-5d82-4d65-87d3-07091bf1516e,mikazeshion,11,6,mikazeshion,mikazeshion,295964021319008257,STAFF,30ae46b4-be38-42a9-840e-21f711115471,MISMATCH
VR ASMR Salon Veludo,Veludo,41b3a02c-88b2-4879-a264-bbaf815d11bc,orikasayom,14,14,orikasayom,orikasayom,685213336945819740,CONSUMER,,MATCH_USER_ID
VR ASMR Salon Veludo,Veludo,b6001889-df4a-4e9a-8d46-2088266a03b2,pass（ぱす）,17,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,8d505a23-db7c-4cad-90ac-4efd80983fe2,riz_02,13,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,61965858-6821-41af-b4d3-8bf0a35f5186,しらとり,6,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,ad27e877-75aa-448f-9104-0d2a52bacbe0,てんしナチュラル,5,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,8825a38e-63d3-4412-a16a-4bbd5457f2b0,ひさぎ,7,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,6d5c1f62-3c57-474e-b835-e30e8fe7b038,ましろ,10,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,213ea5ee-8372-4e44-b282-15e6984ae549,ゆっぴー,12,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,69216053-1355-44d1-9607-909677849e1b,タコスケ,20,,,,,,,NO_LINKED_USER
VR ASMR Salon Veludo,Veludo,d1935548-ac5d-4a51-8ca5-28987b9fedba,天藤ミント,18,,,,,,,NO_LINKED_USER
